City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Vila Do Maio,CV,15.13,-23.22,86.79,74,88,14.34,overcast clouds
83,Vaitape,PF,-16.52,-151.75,73.81,78,99,0.78,moderate rain
84,Beringovskiy,RU,63.05,179.32,42.55,69,100,2.71,overcast clouds
85,Honiara,SB,-9.43,159.95,76.06,81,47,2.77,scattered clouds
86,Sitka,US,57.05,-135.33,62.49,88,100,5.75,heavy intensity rain
87,Upernavik,GL,72.79,-56.15,42.1,85,100,3.49,overcast clouds
88,Inuvik,CA,68.35,-133.72,59.76,77,40,11.5,scattered clouds
89,Nacala,MZ,-14.54,40.67,73.4,73,2,8.28,clear sky
90,Ponta Do Sol,PT,32.67,-17.10,74.03,71,38,6.51,scattered clouds
91,Praia,CV,14.92,-23.51,86.54,54,40,12.66,scattered clouds
92,Yellowknife,CA,62.46,-114.35,66.72,82,40,8.05,scattered clouds
93,Geraldton,AU,-28.77,114.60,55.81,82,75,10.36,broken clouds
94,Sola,VU,-13.88,167.55,80.28,75,17,8.72,few clouds
95,Luderitz,NA,-26.65,15.16,59.41,74,3,8.08,clear sky
96,Berbera,SO,10.44,45.01,96.08,37,23,19.13,few clouds
97,Codrington,AU,-38.27,141.97,54.68,70,100,19.42,light rain
98,Nanortalik,GL,60.14,-45.24,43.21,81,45,16.4,scattered clouds
99,Hambantota,LK,6.12,81.12,79.54,82,89,15.32,overcast clouds
100,Westport,US,41.14,-73.36,77.14,63,100,4.61,overcast clouds
101,Olinda,BR,-8.01,-34.86,83.93,61,75,16.11,broken clouds
102,Tayu,ID,-6.54,111.05,78.78,80,71,12.57,broken clouds
103,Buala,SB,-8.14,159.59,78.3,80,30,0.92,scattered clouds
104,Puyang,CN,29.46,119.89,76.01,95,100,1.74,overcast clouds
105,Nemuro,JP,43.32,145.57,64.08,90,0,8.1,clear sky
106,Necochea,AR,-38.55,-58.74,51.96,57,60,16.17,broken clouds
107,Ulaangom,MN,49.98,92.07,54.32,63,64,2.93,broken clouds
108,Hermitage,US,41.23,-80.45,73.27,77,75,6.91,broken clouds
109,Caravelas,BR,-17.71,-39.25,76.1,61,47,9.69,scattered clouds
110,Mumford,GH,5.26,-0.76,77.05,70,12,9.91,few clouds
111,Yairipok,IN,24.67,94.07,73.6,93,55,1.32,broken clouds
112,Belmonte,BR,-15.86,-38.88,76.01,65,82,9.69,broken clouds
113,Beloha,MG,-25.17,45.05,65.55,79,1,11.59,clear sky
114,Cabedelo,BR,-6.98,-34.83,77.67,75,64,23.06,broken clouds
115,Kendari,ID,-3.94,122.50,74.28,95,99,1.59,overcast clouds
116,Belgrade,RS,44.80,20.47,92.64,36,40,4.61,scattered clouds
117,Henties Bay,NA,-22.12,14.28,57.43,80,4,11.79,clear sky
118,Aguimes,ES,27.91,-15.45,77.63,61,40,27.63,scattered clouds
119,Bluff,NZ,-46.60,168.33,48.54,90,100,6.49,overcast clouds
120,Valparaiso,CL,-33.04,-71.63,54.48,96,7,19.84,clear sky
121,Sokoni,TZ,-6.43,39.55,75.81,80,4,14.43,clear sky
122,Hithadhoo,MV,-0.60,73.08,82.24,76,83,12.77,broken clouds
123,Ozinki,RU,51.18,49.68,81.64,25,100,9.71,overcast clouds
124,Esperance,AU,-33.87,121.90,53.74,63,100,20.47,light rain
125,Atuona,PF,-9.80,-139.03,76.3,81,56,22.66,light rain
126,Richards Bay,ZA,-28.78,32.04,71.28,55,100,6.62,overcast clouds
127,San Antonio,US,29.42,-98.49,90.07,62,40,9.22,scattered clouds
128,Carnarvon,AU,-24.87,113.63,62.67,72,100,18.41,overcast clouds
129,Mar Del Plata,AR,-38.00,-57.56,53.94,71,75,13.8,broken clouds
130,Puerto Narino,CO,-3.77,-70.38,92.05,46,4,4.09,clear sky
131,Tiksi,RU,71.69,128.87,42.08,95,17,13.02,few clouds
132,Olafsvik,IS,64.89,-23.71,49.75,84,100,26.62,overcast clouds
133,Cidreira,BR,-30.18,-50.21,63.5,84,19,9.28,few clouds
134,Dong Hoi,VN,17.48,106.60,81.39,78,90,8.5,overcast clouds
135,Ambilobe,MG,-13.20,49.05,72.19,75,26,0.78,scattered clouds
136,East London,ZA,-33.02,27.91,67.14,52,0,12.66,clear sky
137,Havelock,US,34.88,-76.90,84.18,71,75,10.36,broken clouds
138,Vostok,RU,46.49,135.88,57.67,90,0,4.5,clear sky
139,Sao Miguel Do Araguaia,BR,-13.28,-50.16,96.71,15,52,8.79,broken clouds
140,Srandakan,ID,-7.94,110.25,76.06,77,42,9.44,scattered clouds
141,Kieta,PG,-6.22,155.63,79.12,82,27,3.04,scattered clouds
142,Moose Factory,CA,51.26,-80.61,75.2,64,0,4.61,clear sky
143,Riyadh,SA,24.69,46.72,105.94,8,100,9.4,overcast clouds
144,Avera,US,33.19,-82.53,76.51,62,95,3.42,overcast clouds
145,Kapaa,US,22.08,-159.32,73.38,92,0,9.22,clear sky
146,Fare,PF,-16.70,-151.02,74.62,76,85,5.12,overcast clouds
147,Tabuk,PH,17.42,121.44,73.71,98,100,1.68,moderate rain
148,Victoria,HK,22.29,114.16,83.32,88,28,8.01,scattered clouds
149,Saskylakh,RU,71.92,114.08,42.55,91,82,14.25,broken clouds
150,Villefranche-De-Rouergue,FR,44.33,2.00,75.04,49,99,6.93,overcast clouds
151,Mantua,IT,45.17,10.78,87.04,92,100,10.29,overcast clouds
152,Nome,US,64.50,-165.41,44.67,65,100,8.05,overcast clouds
153,Torrington,US,41.80,-73.12,74.25,63,100,5.93,overcast clouds
154,Torbay,CA,47.67,-52.73,65.39,91,100,13.8,overcast clouds
155,Iqaluit,CA,63.75,-68.51,40.73,93,100,3.44,light rain
156,Thompson,CA,55.74,-97.86,68.16,73,75,4.61,broken clouds
157,Krasnyy Oktyabr,RU,56.12,38.88,74.62,51,45,5.21,scattered clouds
158,Cabra,ES,37.47,-4.44,86.05,19,0,10.49,clear sky
159,Port Augusta,AU,-32.50,137.77,60.8,32,70,17.02,broken clouds
160,Bayangol,RU,50.70,103.47,45.19,95,57,2.51,moderate rain
161,Portland,US,45.52,-122.68,75.92,66,20,4.61,few clouds
162,Poltavka,RU,54.37,71.76,50.22,75,89,6.51,overcast clouds
163,Kavieng,PG,-2.57,150.80,81.16,80,62,12.64,light rain
164,Fomboni,KM,-12.28,43.74,76.59,76,5,10.02,clear sky
165,Sheoganj,IN,25.15,73.07,77.68,90,100,8.84,overcast clouds
166,Hackettstown,US,40.85,-74.83,79.32,55,46,3.44,scattered clouds
167,Shinyanga,TZ,-3.67,33.43,79.65,31,100,3.38,overcast clouds
168,Arani,IN,12.67,79.28,82.6,74,100,4.81,overcast clouds
169,Meadow Lake,US,34.80,-106.54,77.7,54,69,7.16,broken clouds
170,Tevaitoa,PF,-16.78,-151.50,74.98,75,99,4.16,overcast clouds
171,Bose,IT,45.46,8.01,75.16,85,100,1.34,moderate rain
172,Brae,GB,60.40,-1.35,52.05,61,90,8.14,overcast clouds
173,Pisco,PE,-13.70,-76.22,62.65,72,100,4.61,haze
174,Saint-Tite,CA,46.73,-72.57,74.01,52,94,3.83,overcast clouds
175,Douglas,US,41.30,-96.17,78.6,66,0,3.44,clear sky
176,Tasiilaq,GL,65.61,-37.64,51.96,78,100,2.46,overcast clouds
177,Belluno,IT,46.15,12.22,85.64,62,97,4.0,overcast clouds
178,Yozgat,TR,39.58,35.33,81.55,30,8,8.75,clear sky
179,Chemin Grenier,MU,-20.49,57.47,69.39,80,6,8.1,clear sky
180,Kasempa,ZM,-13.46,25.83,75.81,22,5,4.59,clear sky
181,Ballina,AU,-28.87,153.57,48.78,91,19,8.39,few clouds
182,Amga,RU,60.90,131.96,47.01,97,8,3.85,clear sky
183,Istisu,AZ,40.95,48.07,86.67,33,0,3.4,clear sky
184,Bara,NG,10.37,10.73,82.92,67,92,2.59,light rain
185,Tamasane,BW,-22.42,27.40,75.43,16,21,5.97,few clouds
186,Colesberg,ZA,-30.72,25.10,58.98,19,92,16.58,overcast clouds
187,Gold Coast,AU,-28.00,153.43,48.99,94,0,3.44,clear sky
188,San Cristobal,VE,7.77,-72.22,78.98,44,2,9.44,clear sky
189,Kimbe,PG,-5.55,150.14,74.91,93,28,5.26,scattered clouds
190,Georgetown,MY,5.41,100.34,84.15,83,20,5.01,few clouds
191,Narsaq,GL,60.92,-46.05,52.02,63,4,2.73,clear sky
192,Syumsi,RU,57.11,51.61,64.0,67,2,4.05,clear sky
193,Alikovo,RU,55.74,46.75,69.48,66,26,7.81,scattered clouds
194,Bathsheba,BB,13.22,-59.52,86.61,70,75,16.11,broken clouds
195,Kulu,TR,39.10,33.08,86.72,22,28,13.49,scattered clouds
196,Isangel,VU,-19.55,169.27,80.71,83,65,11.5,broken clouds
197,Tommot,RU,58.96,126.29,47.41,93,23,3.36,few clouds
198,Solnechnyy,RU,50.72,136.63,63.19,83,1,5.19,clear sky
199,Lagoa,PT,39.05,-27.98,71.02,61,29,8.86,scattered clouds
200,Navahrudak,BY,53.60,25.83,74.08,62,15,7.83,few clouds
201,Ndola,ZM,-12.96,28.64,72.45,29,8,0.92,clear sky
202,Stornoway,GB,58.21,-6.39,56.03,76,75,5.75,broken clouds
203,Port Elizabeth,ZA,-33.92,25.57,69.1,48,0,10.36,clear sky
204,Sambava,MG,-14.27,50.17,70.72,86,3,12.26,clear sky
205,Tambun,ID,-6.26,107.07,80.49,86,75,3.98,broken clouds
206,Port Lincoln,AU,-34.73,135.87,56.66,86,100,18.63,overcast clouds
207,Las Choapas,MX,17.93,-94.08,83.43,78,100,1.07,overcast clouds
208,Jinchang,CN,38.50,102.17,69.91,60,99,4.36,overcast clouds
209,Nizhnyaya Tavda,RU,57.67,66.17,47.21,70,75,5.93,broken clouds
210,Te Anau,NZ,-45.42,167.72,47.62,97,100,1.28,overcast clouds
211,New Norfolk,AU,-42.78,147.06,56.71,74,97,1.99,overcast clouds
212,Uruacu,BR,-14.52,-49.14,93.83,18,57,5.35,broken clouds
213,Cherskiy,RU,68.75,161.30,47.25,53,100,14.03,overcast clouds
214,Panama City,PA,8.99,-79.52,89.92,68,20,4.61,few clouds
215,Medicina,IT,44.48,11.64,91.53,84,60,8.21,broken clouds
216,Kontagora,NG,10.40,5.47,80.17,77,88,4.03,light rain
217,Asau,RO,46.43,26.40,72.52,78,73,3.51,broken clouds
218,Jinsha,CN,32.09,121.07,82.98,91,42,6.17,scattered clouds
219,Kirakira,SB,-10.45,161.92,77.99,82,17,3.49,few clouds
220,Clyde River,CA,70.47,-68.59,44.83,81,75,6.91,broken clouds
221,Svetlaya,RU,46.54,138.33,66.67,76,0,4.65,clear sky
222,Severo-Kurilsk,RU,50.68,156.12,53.44,97,98,16.22,overcast clouds
223,Grand Gaube,MU,-20.01,57.66,70.2,78,0,3.0,clear sky
224,Saint-Philippe,RE,-21.36,55.77,71.19,75,27,7.02,scattered clouds
225,Camrose,CA,53.02,-112.84,71.92,59,6,8.5,clear sky
226,Teya,RU,60.38,92.63,52.27,96,100,3.36,overcast clouds
227,Coihaique,CL,-45.58,-72.07,42.75,61,20,3.44,few clouds
228,Mut,TR,36.64,33.44,93.27,32,0,5.35,clear sky
229,Jalu,LY,29.03,21.55,99.07,18,0,14.81,clear sky
230,Mamallapuram,IN,12.63,80.17,86.05,80,100,11.32,overcast clouds
