City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ridgecrest,US,2022-08-12 22:37:25,35.6225,-117.6709,105.66,13,20,11.5
68,Sechura,PE,2022-08-12 22:37:26,-5.5569,-80.8222,69.22,68,23,17.6
69,Teahupoo,PF,2022-08-12 22:37:26,-17.8333,-149.2667,78.76,77,61,16.46
70,Rochefort,FR,2022-08-12 22:37:26,45.9167,-1.0,73.85,63,0,2.73
71,La Sarre,CA,2022-08-12 22:37:27,48.8002,-79.1996,66.79,61,16,5.46
72,Pangnirtung,CA,2022-08-12 22:37:27,66.1451,-65.7125,60.8,48,75,3.44
73,Saint George,US,2022-08-12 22:33:55,37.1041,-113.5841,78.26,66,75,9.22
74,Yulara,AU,2022-08-12 22:37:28,-25.2406,130.9889,47.41,63,0,3.65
75,Yanam,IN,2022-08-12 22:37:28,16.7333,82.2167,80.82,74,100,7.96
76,Kahului,US,2022-08-12 22:33:12,20.8947,-156.47,87.82,48,20,26.46
77,Rio Grande,BR,2022-08-12 22:37:29,-32.035,-52.0986,59.11,82,68,12.62
78,Saskylakh,RU,2022-08-12 22:37:29,71.9167,114.0833,48.92,62,100,1.21
79,Belyy Yar,RU,2022-08-12 22:37:30,53.6039,91.3903,58.89,88,0,2.24
80,Hambantota,LK,2022-08-12 22:37:30,6.1241,81.1185,78.51,84,72,14.72
81,Upernavik,GL,2022-08-12 22:37:30,72.7868,-56.1549,46.04,65,100,7.38
82,San Quintin,MX,2022-08-12 22:37:31,30.4833,-115.95,77.16,71,18,9.57
83,Vestmannaeyjar,IS,2022-08-12 22:37:31,63.4427,-20.2734,50.83,83,21,9.37
84,Warmbad,NA,2022-08-12 22:37:32,-28.45,18.7333,50.76,80,16,4.43
85,Clyde River,CA,2022-08-12 22:37:23,70.4692,-68.5914,55.63,58,100,13.8
86,Palmer,US,2022-08-12 22:37:32,42.1584,-72.3287,78.4,38,75,10.36
87,Beringovskiy,RU,2022-08-12 22:37:33,63.05,179.3167,53.37,89,99,4.92
88,Itarema,BR,2022-08-12 22:37:33,-2.9248,-39.9167,78.15,82,4,16.51
89,Dire,ML,2022-08-12 22:37:33,12.2833,-10.9667,72.97,98,100,3.89
90,Adrar,MR,2022-08-12 22:37:34,20.5022,-10.0711,82.31,61,48,23.04
91,Cape Town,ZA,2022-08-12 22:37:34,-33.9258,18.4232,53.11,86,40,3.44
92,Lugo,ES,2022-08-12 22:38:35,43.0,-7.5,64.9,100,40,1.5
93,Severo-Kurilsk,RU,2022-08-12 22:38:35,50.6789,156.125,56.08,95,98,9.26
94,Hermanus,ZA,2022-08-12 22:38:36,-34.4187,19.2345,42.8,76,54,5.53
95,Lazaro Cardenas,MX,2022-08-12 22:36:19,17.9583,-102.2,83.62,74,91,7.47
96,Tupiza,BO,2022-08-12 22:38:36,-21.45,-65.7167,57.47,14,23,8.32
97,Muros,ES,2022-08-12 22:38:37,42.7762,-9.0603,62.83,90,97,3.29
98,Novaya Zaimka,RU,2022-08-12 22:38:37,56.4857,66.9241,59.54,70,97,10.51
99,Thompson,CA,2022-08-12 22:38:37,55.7435,-97.8558,68.16,45,20,9.22
100,Katsuura,JP,2022-08-12 22:38:38,35.1333,140.3,81.27,84,100,20.62
